,Date,Open,High,Low,Close,Volume,OpenInt,Product
9757,2016-01-11,214.01,214.45,203.0,207.85,4091422,0,Electric Car
9758,2016-01-12,211.6,213.74,205.31,209.97,2595389,0,House-Powering Battery
9759,2016-01-13,212.01,212.65,200.0,200.31,3821277,1,House-Powering Battery
9760,2016-01-14,202.21,210.0,193.38,206.18,5965537,0,Electric Car
9761,2016-01-15,198.97,205.07,197.25,204.99,4251085,0,Merchandising
9762,2016-01-19,208.71,210.47,200.78,204.72,4038600,0,Electric Car
9763,2016-01-20,199.4,201.28,191.25,198.7,5319658,1,Merchandising
9764,2016-01-21,201.55,203.23,195.02,199.97,2955075,1,Merchandising
9765,2016-01-22,204801,205.5,199.03,202.55,3081626,0,House-Powering Battery
9766,2016-01-25,200.06,203.57,195.88,196.37,2150984,1,House-Powering Battery
9767,2016-01-26,196.7,197.82,188.88,193.56,4123942,0,House-Powering Battery
9768,2016-01-27,192.38,193.26,185.77,188.07,3530660,1,Electric Car
9769,2016-01-28,190.79,191.28,182.41,189.7,3867413,0,Merchandising
9770,2016-01-29,189.95,193.74,188.08,191.11,2244637,0,Electric Car
9771,2016-02-01,188.76,199.52,182.75,196.94,4572522,1,Merchandising
9772,2016-02-02,192.42,193.12,180.23,182.78,4994163,1,Electric Car
9773,2016-02-03,183.59,183.94,170.18,173.48,6766212,0,Electric Car
9774,2016-02-04,170.7,175.98,166.99,175.33,3697860,0,Electric Car
9775,2016-02-05,171.3,173.0,157744,162.6,8856904,0,House-Powering Battery
9776,2016-02-08,157105,157.15,146.0,148.03,7657160,1,House-Powering Battery
9777,2016-02-09,142.32,159.79,141.05,148.25,7950407,0,House-Powering Battery
9778,2016-02-10,150.5,154.97,141.74,143.67,8053123,0,Electric Car
9779,2016-02-11,152.0,163.26,147.0,150.47,13417556,1,House-Powering Battery
9780,2016-02-12,155.0,157.01,143.7,151.04,6375109,0,House-Powering Battery
9781,2016-02-16,158.7,162.95,154.11,155.17,5354390,1,Merchandising
9782,2016-02-17,159.0,169.34,156.68,168.68,5100855,0,House-Powering Battery
9783,2016-02-18,172.42,172.95,164.77,166.77,3527362,1,House-Powering Battery
9784,2016-02-19,163.66,167.49,162.5,166.58,2484298,0,Electric Car
9785,2016-02-22,170.12,178.91,169.85,177.74,4417725,1,House-Powering Battery
9786,2016-02-23,176.16,181.73,173.68,177.21,5876295,0,Electric Car
9787,2016-02-24,172.75,179.5,167.84,179.0,4635777,1,Electric Car
9788,2016-02-25,178.65,188519,175.2,187.43,4517456,0,Merchandising
9789,2016-02-26,188.7,192.0,185.0,190.34,5230574,1,Electric Car
9790,2016-02-29,192.4,196.35,189222,191.93,4226478,1,Merchandising
9791,2016-03-01,194.25,195948,182.7,186.35,5835029,1,Electric Car
9792,2016-03-02,183.73,188.52,181.5,188.34,4536212,0,Merchandising
9793,2016-03-03,188.28,197.42,184.22,195.74,4246868,0,House-Powering Battery
9794,2016-03-04,198.0,204.03,197.5,201.04,5732174,1,Merchandising
9795,2016-03-07,197.68,209.7,197.4,205.29,4489102,1,Electric Car
9796,2016-03-08,203.5,207.5,202.2,202.6,3828797,0,Electric Car
9797,2016-03-09,204.52,209373,202.79,208.72,2752317,1,Electric Car
9798,2016-03-10,210.0,213.29,200671,205.18,5192523,0,House-Powering Battery
9799,2016-03-11,207.93,209.42,205.33,207.5,2816476,1,House-Powering Battery
9800,2016-03-14,212.65,216.72,210.64,215.15,4065706,0,House-Powering Battery
9801,2016-03-15,214.27,218.97,211.5,218.34,3180452,0,House-Powering Battery
9802,2016-03-16,218.0,222.58,217.02,221.93,3516703,0,Electric Car
9803,2016-03-17,221.47,228.5,220.0,226.38,3782891,1,Electric Car
9804,2016-03-18,229.1,234.48,228.06,232.74,4711793,1,House-Powering Battery
9805,2016-03-21,235.34,239.88,235.0,238.32,5307822,1,House-Powering Battery
9806,2016-03-22,237.21,238.99,232558,234.24,4315988,1,Merchandising
9807,2016-03-23,232.37,234.73,222.03,222.58,4948841,0,House-Powering Battery
9808,2016-03-24,215.78,228888,215.0,227.75,4960900,0,Merchandising
9809,2016-03-28,231.61,234.81,225.0,230.26,3326412,0,House-Powering Battery
9810,2016-03-29,229.89,232.38,225.33,230.13,3850008,1,Merchandising
9811,2016-03-30,235.09,235.5,226.5,226.89,3499648,0,Electric Car
9812,2016-03-31,229.34,237.42,225.01,229.77,6849312,1,Electric Car
9813,2016-04-01,244825,247.9,233.25,237.59,15013575,1,Electric Car
9814,2016-04-04,249.12,252.12,243.64,246.99,11437981,1,Electric Car
9815,2016-04-05,240.5,256.56,240.0,255.47,9669381,1,Merchandising
9816,2016-04-06,253.97,267.74,253.45,265.42,9839525,0,House-Powering Battery
9817,2016-04-07,266.45,269.34,254.51,257.2,7641985,0,Merchandising
9818,2016-04-08,260.5,260.82,248.02,250.07,6178753,0,Merchandising
9819,2016-04-11,251.0,258.99,245.3,249.92,7916097,0,Merchandising
9820,2016-04-12,249.5,251.8,243.63,247.82,4913016,1,Merchandising
9821,2016-04-13,248.51,255.5,247.33,254.53,4252144,0,Merchandising
9822,2016-04-14,253.0,256839,251.05,251.86,3652819,0,Merchandising
9823,2016-04-15,251.31,254.6,249.12,254.51,3430213,0,House-Powering Battery
9824,2016-04-18,252.23,258.31,251.66,253.88,4054702,1,House-Powering Battery
9825,2016-04-19,253.12,254.37,241251,247.37,5403359,0,Electric Car
9826,2016-04-20,246.26,253.66,241.5,249.97,4735351,0,Electric Car
9827,2016-04-21,248.99,250.9,246.91,248.29,2645018,0,House-Powering Battery
9828,2016-04-22,248.89,254.0,245.71,253.75,3337973,1,Merchandising
9829,2016-04-25,253.01,257.38,250.76,251.82,3070857,1,Merchandising
9830,2016-04-26,252.05,255.73,249.39,253.74,2776157,1,House-Powering Battery
9831,2016-04-27,252.75,255.0,249.4,251.47,2977861,1,Electric Car
9832,2016-04-28,249.85,253.43,247.44,247.71,2128265,1,Merchandising
9833,2016-04-29,248.14,248.43,237.81,240.76,4520491,0,House-Powering Battery
9834,2016-05-02,241.5,243.19,234.82,241.8,3252350,0,House-Powering Battery
9835,2016-05-03,237.36,238.91,231.62,232.32,4000769,0,Electric Car
9836,2016-05-04,230.29,234.46,220.4,222.56,7161067,0,Electric Car
9837,2016-05-05,228.46,228.64,209.79,211.53,10952049,1,House-Powering Battery
9838,2016-05-06,210.87,216.37,208.11,214.93,5003497,0,Electric Car
9839,2016-05-09,215.72,216.15,206.8,208.92,4520062,0,Merchandising
9840,2016-05-10,207.55,209.47,205.0,208.69,3491633,0,House-Powering Battery
9841,2016-05-11,207.59,215.48,206.05,208.96,5042386,0,Merchandising
9842,2016-05-12,211.44,211.67,203657,207.2,3066746,1,Merchandising
9843,2016-05-13,207.78,211.2,206.7,207.61,2401971,1,Merchandising
9844,2016-05-16,208.15,213.15,207.92,208.29,2474446,0,Electric Car
9845,2016-05-17,209.05,209.82,204.02,204.66,2303002,0,Merchandising
9846,2016-05-18,209.15,215.31,207.75,211.17,4454848,1,Merchandising
9847,2016-05-19,213.62,216.79,207.3,215.21,6582419,0,House-Powering Battery
9848,2016-05-20,216.99,220.55,216.35,220.28,8635216,1,Merchandising
9849,2016-05-23,219.87,222.6,215.86,216.22,4335487,1,House-Powering Battery
9850,2016-05-24,216.6,218.74,215.18,217.91,2928659,0,House-Powering Battery
9851,2016-05-25,217.91,221.36,216.51,219.58,2514028,1,Merchandising
9852,2016-05-26,220.5,225.26,219.05,225.12,3560997,1,House-Powering Battery
9853,2016-05-27,224.99,225.93,220.75,223.04,3081734,0,Merchandising
9854,2016-05-31,223.04,224.75,221.5,223.23,2046828,1,Electric Car
9855,2016-06-01,221.48,222.4,216.89,219.56,2549934,0,Merchandising
9856,2016-06-02,219.59,219909,217.11,218.96,1670749,0,Electric Car
9857,2016-06-03,220.0,221.94,218.01,218.99,1897954,1,House-Powering Battery
9858,2016-06-06,218.0,220.9,215.45,220.68,1901580,0,House-Powering Battery
9859,2016-06-07,222.24,234.44,221.52,232.34,5530952,0,Merchandising
9860,2016-06-08,233.8,240845,232605,235.52,5092613,0,Electric Car
9861,2016-06-09,234.98,235.33,227.06,229.36,4145457,1,Electric Car
9862,2016-06-10,227.39,227.97,218422,218.79,5278017,1,House-Powering Battery
9863,2016-06-13,219.5,225.77,217.66,217.87,3585438,0,Merchandising
9864,2016-06-14,218.88,222.2,212.53,214.95,2941462,1,Electric Car
9865,2016-06-15,216.95,221.9,215.13,217.7,2780560,1,Merchandising
9866,2016-06-16,217.42,218.04,213.5,217.93,2098911,0,House-Powering Battery
9867,2016-06-17,217.81,219.99,214.5,215.48,2605683,1,Merchandising
9868,2016-06-20,219.5,223.75,218.23,219.7,3020866,1,Merchandising
9869,2016-06-21,220.68,222569,218.81,219.61,2226694,0,Electric Car
9870,2016-06-22,199.47,205.95,195.75,196.66,22631149,1,House-Powering Battery
9871,2016-06-23,195.69,197.55,192.13,196.4,9464787,1,House-Powering Battery
9872,2016-06-24,190.05,195.12,189.73,193.15,5854728,1,Electric Car
9873,2016-06-27,190.86,198.81,187.87,198.55,6779769,0,Merchandising
9874,2016-06-28,201.89,204.05,199.41,201.79,5725343,1,Electric Car
9875,2016-06-29,205.13,211.78,203.0,210.16,4601420,1,House-Powering Battery
9876,2016-06-30,212.97,213.5,209.02,212.28,3611804,0,Merchandising
9877,2016-07-01,206.14,218.24,206.0,216.5,4759573,1,House-Powering Battery
9878,2016-07-05,209.73,214544,208.0,213.98,4434881,0,Electric Car
9879,2016-07-06,210.0,215.23,209.0,214.44,4408957,1,House-Powering Battery
9880,2016-07-07,213.1,218.12,213.01,215.94,2738871,1,Electric Car
9881,2016-07-08,217.8,219.81,214.5,216.78,3209618,0,Merchandising
9882,2016-07-11,219.96,226.78,219.51,224.78,4733773,1,Merchandising
9883,2016-07-12,224.1,227.5,223.22,224.65,4004195,0,Merchandising
9884,2016-07-13,225.5,225.59,220.29,222.53,2885761,0,House-Powering Battery
9885,2016-07-14,223.12,224.94,221.05,221.53,2190373,1,Merchandising
9886,2016-07-15,222.52,222.75,219.64,220.37,1784153,0,Electric Car
9887,2016-07-18,219.64,227.09,218.3,226.25,2894015,0,House-Powering Battery
9888,2016-07-19,225.0,229.1,224.75,225.26,2783923,0,Electric Car
9889,2016-07-20,226.47,229.8,225.0,228.36,2295648,1,House-Powering Battery
9890,2016-07-21,226.0,227847,219.1,220.5,3753150,0,House-Powering Battery
9891,2016-07-22,221.99,224.5,218.88,222.27,2437326,0,Electric Car
9892,2016-07-25,222.27,231.39,221372,230.01,3852884,0,House-Powering Battery
9893,2016-07-26,227.69,230.0,225.3,229.51,3039023,0,House-Powering Battery
9894,2016-07-27,229.34,233.36,226.92,228.49,2365669,1,Electric Car
